173	50	38
163	51	38
165	56	38
168	56	38
171	68	38
165	50	39
163	59	39
172	60	39
172	65	39
172	66.5	39
174	50	40
168	52	40
175	54	40
163	55	40
173	56	40
175	60	40
173	62	40
172	65	40
174	67	40
180	70	40
174	84	40
157	50	41
164	53	41
170	55	41
178	56	41
173	58.5	41
178	60	41
173	65	41
167	65	41
168	70	41
178	70	41
177	70	41
176	73	41
173	84	41
172	55	42
176	55	42
169	56	42
178	60	42
181	60	42
176	60	42
173	60	42
176	60	42
179	61	42
172	61	42
176	62	42
178	62	42
172	62	42
178	62.5	42
175	63	42
178	65	42
168	67	42
174	72	42
180	75	42
177	75	42
177	75	42
175	75	42
176	75	42
178	56	43
181	65	43
180	66	43
178	67	43
175	67	43
185	70	43
183	70	43
178	70	43
177	71	43
181	73	43
183	75	43
178	78	43
178	80	43
174	83	43
178	60	44
178	65	44
179	68	44
174	88	44
170	65	46
178	56	45
170	57	44
176	60	45
168	62	42
180	62	45
172	64	41
181	74	43
