167	55	41
176	66	43
175	65	42
162	48	43
167	57	42
168	65	42
178	82	42
172	55	42
166	66	42
173	56	42
177	58	43
174	62	42
158	51	41
170	55	42
169	49	41
180	67	41
184	68	42
171	75	43
176	65	46
172	65	42
179	58	42.5
172	61	42.5
177	70	43
172	55	42
175	60	42
172	65	42
176	55	43
168	52	41
170	68	41
176	54	42
185	70	41
160	49	38
178	61	42
172	65	41
172	60	42
178	55	43
176	65	40
176	67	42
170	70	41
180	75	46
173	75	42
169	50	39
170	50	42
170	55	42
170	60	41
167	54	41
178	67	43
175	56	42
176	56	42
171	70	42
176	65	42
174	65	41
176	54	42
178	80	42
182	74	42
175	66	42
182	70	43
172	63	43
165	48.5	41
174	76	43
173	65	43
180	72	42
180	76	44
178	78	45
176	66	42.5
168	52	40
174	69	42
171	65	42
171	62	42
171	59	42.5
181	58	42
166	62	40
173	56	42
179	59	42
186	80	44
174	55	42
183	70	44
172	62	42
171	66	42
174	60	41
174	64	42
180	63	42
